game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag
1,6,2,Placement,4/11/2023,Cypher,Ascent,Loss,5,13,8,15,4,0.5,-61,3,76,125,3
2,6,2,Placement,4/12/2023,Cypher,Icebox,Loss,4,13,3,15,2,0.2,-124,22,42,59,5
3,6,2,Placement,4/15/2023,KAY/O,Lotus,Win,13,4,7,12,7,0.6,-46,2,87,132,5
4,6,2,Placement,4/15/2023,Brimstone,Ascent,Loss,9,13,18,12,10,1.5,23,14,137,230,2
5,6,2,Placement,4/15/2023,Cypher,Haven,Loss,1,13,6,14,3,0.4,-75,7,90,146,4
6,6,2,Silver 2,4/15/2023,KAY/O,Haven,Win,13,10,16,15,18,1.1,19,10,155,234,3
7,6,2,Silver 2,4/15/2023,Cypher,Pearl,Loss,3,13,7,15,5,0.5,-43,11,112,145,4
8,6,2,Silver 2,4/15/2023,KAY/O,Icebox,Loss,4,13,8,15,4,0.5,-70,3,73,119,5
9,6,2,Silver 2,4/16/2023,Cypher,Pearl,Loss,10,13,14,17,4,0.8,-32,9,99,160,4
10,6,2,Silver 2,4/16/2023,Phoenix,Fracture,Win,13,4,16,7,6,2.3,111,8,211,284,2
11,6,2,Silver 2,4/17/2023,Brimstone,Lotus,Loss,4,13,8,14,1,0.6,-59,8,85,137,4
12,6,2,Silver 2,4/17/2023,KAY/O,Ascent,Win,15,13,17,17,14,1.0,0,10,130,191,4
13,6,2,Silver 2,4/17/2023,KAY/O,Ascent,Loss,9,13,13,16,8,0.8,-57,19,87,151,5
14,6,2,Silver 2,4/17/2023,KAY/O,Icebox,Loss,12,14,12,18,6,0.7,-55,4,78,131,5
15,6,2,Silver 2,4/17/2023,KAY/O,Lotus,Loss,9,13,17,15,4,1.1,-8,8,129,223,3
16,6,2,Silver 2,4/17/2023,KAY/O,Split,Loss,12,14,20,24,11,0.8,-20,5,139,225,2
17,6,2,Silver 2,4/18/2023,Breach,Split,Loss,5,13,5,16,8,0.3,-64,6,102,128,5
18,6,2,Silver 2,4/18/2023,Breach,Fracture,Win,13,9,9,16,7,0.6,-20,5,97,128,5
19,6,2,Silver 2,4/18/2023,Breach,Fracture,Win,13,8,12,16,11,0.8,-43,5,108,179,4
20,6,2,Silver 2,4/21/2023,Cypher,Lotus,Loss,5,13,7,15,1,0.5,-81,23,70,103,4
21,6,2,Silver 2,4/21/2023,Cypher,Ascent,Win,4,0,1,1,1,1.0,13,17,68,81,5
22,6,2,Silver 2,4/21/2023,Cypher,Ascent,Win,13,4,7,10,4,0.7,-26,11,81,125,5
23,6,2,Silver 3,4/21/2023,Cypher,Haven,Win,13,5,14,11,7,1.3,2,5,127,206,4
24,6,2,Silver 3,4/21/2023,Cypher,Fracture,Win,15,13,23,20,7,1.2,6,9,155,236,3
25,6,2,Silver 3,4/21/2023,Cypher,Pearl,Win,13,7,15,10,6,1.5,21,7,129,193,2
26,6,2,Silver 3,4/22/2023,Cypher,Icebox,Win,13,2,8,10,4,0.8,-52,15,89,139,5
27,6,2,Gold 1,4/22/2023,Cypher,Split,Draw,15,15,35,21,8,1.7,68,13,200,324,1
28,6,2,Gold 1,4/23/2023,Cypher,Fracture,Win,13,10,12,16,4,0.8,-28,11,98,145,4
29,6,2,Gold 1,4/23/2023,Cypher,Ascent,Loss,5,13,11,15,2,0.7,-13,8,129,202,3
30,6,3,Gold 1,4/28/2023,Cypher,Fracture,Loss,12,14,22,19,5,1.2,25,18,179,256,2
31,6,3,Gold 1,4/28/2023,Cypher,Pearl,Loss,8,13,14,15,4,0.9,-10,14,113,184,2
32,6,3,Gold 1,4/28/2023,Cypher,Pearl,Win,14,12,17,20,6,0.9,-5,12,136,207,3
33,6,3,Gold 1,4/28/2023,Cypher,Haven,Loss,12,14,15,18,7,0.8,-29,14,103,156,3
34,6,3,Gold 1,4/29/2023,Cypher,Lotus,Win,13,11,21,14,4,1.5,33,11,146,234,2
35,6,3,Gold 1,5/2/2023,Cypher,Fracture,Loss,6,13,6,17,4,0.4,-62,8,87,123,5
36,6,3,Gold 1,5/2/2023,Cypher,Bind,Loss,8,13,8,15,1,0.5,-48,19,78,108,5
37,6,3,Gold 1,5/2/2023,Cypher,Split,Win,13,7,14,14,8,1.0,-35,12,115,192,4
38,6,3,Gold 1,5/4/2023,Cypher,Pearl,Loss,10,13,18,14,5,1.3,3,11,139,212,2
39,6,3,Gold 1,5/4/2023,Cypher,Ascent,Loss,5,13,13,15,2,0.9,-9,15,132,202,4
40,6,3,Silver 3,5/4/2023,Cypher,Lotus,Loss,11,13,14,17,0,0.8,-21,15,115,174,4
41,6,3,Silver 3,5/4/2023,Cypher,Ascent,Loss,7,13,11,18,2,0.6,-49,13,98,154,4
42,6,3,Silver 3,5/4/2023,Cypher,Split,Win,13,9,23,13,7,1.8,75,9,182,274,1
43,6,3,Gold 1,5/4/2023,Cypher,Bind,Win,13,1,13,2,4,6.5,61,12,124,213,3
44,6,3,Gold 1,5/4/2023,Cypher,Haven,Win,13,7,18,13,4,1.4,39,12,168,260,2
45,6,3,Gold 1,5/4/2023,Cypher,Bind,Win,13,9,15,13,10,1.2,40,13,164,230,4
46,6,3,Gold 1,5/4/2023,Cypher,Haven,Win,13,6,9,12,4,0.8,-10,6,102,150,5
47,6,3,Gold 2,5/4/2023,Cypher,Split,Win,14,12,16,16,5,1.0,2,19,112,170,3
48,6,3,Gold 2,5/4/2023,Cypher,Ascent,Win,13,10,14,17,6,0.8,-8,5,128,184,4
49,6,3,Gold 2,5/4/2023,Cypher,Lotus,Loss,5,13,18,16,4,1.1,22,10,165,275,1
50,6,3,Gold 2,5/4/2023,Cypher,Lotus,Win,13,2,27,6,8,4.5,190,10,284,493,1
51,6,3,Gold 2,5/4/2023,Cypher,Pearl,Win,13,7,17,13,9,1.3,9,10,137,211,2
52,6,3,Gold 2,5/4/2023,Cypher,Split,Loss,11,13,15,20,6,0.8,-50,8,113,172,3
53,6,3,Gold 2,5/4/2023,Cypher,Bind,Win,13,11,16,17,8,0.9,12,9,150,212,4
54,6,3,Gold 2,5/4/2023,Cypher,Split,Loss,6,13,9,15,1,0.6,-55,20,70,115,4
55,6,3,Gold 3,5/4/2023,Cypher,Ascent,Win,13,10,15,17,5,0.9,19,14,133,201,4
56,6,3,Gold 3,5/5/2023,Cypher,Haven,Win,13,8,14,12,7,1.2,-5,8,111,181,4
57,6,3,Gold 2,5/5/2023,Cypher,Lotus,Loss,7,13,13,17,3,0.8,-38,13,123,198,3
58,6,3,Gold 2,5/7/2023,Cypher,Pearl,Loss,9,13,9,15,3,0.6,-43,12,90,132,5
59,6,3,Gold 2,5/7/2023,Cypher,Pearl,Win,14,12,20,20,4,1.0,3,14,151,234,1
60,6,3,Gold 2,5/7/2023,Cypher,Fracture,Loss,13,15,20,19,6,1.1,7,8,146,215,2
61,6,3,Gold 2,5/8/2023,Cypher,Ascent,Loss,5,13,13,16,6,0.8,-24,13,124,209,3
62,6,3,Gold 2,5/8/2023,Cypher,Bind,Win,13,9,20,13,6,1.5,26,5,154,258,1
63,6,3,Gold 2,5/8/2023,Cypher,Bind,Loss,8,13,16,14,5,1.1,1,21,117,213,2
64,6,3,Gold 3,5/8/2023,Cypher,Lotus,Win,13,8,18,12,8,1.5,62,7,170,248,3
65,6,3,Gold 3,5/8/2023,Cypher,Split,Win,13,5,6,9,5,0.7,-37,12,65,89,5
66,6,3,Gold 3,5/8/2023,Cypher,Pearl,Loss,5,13,14,18,6,0.8,-21,13,117,179,4
67,6,3,Gold 3,5/8/2023,Cypher,Haven,Win,13,3,7,6,3,1.2,-21,10,70,114,5
68,6,3,Gold 3,5/8/2023,Cypher,Haven,Loss,6,13,23,15,3,1.5,47,15,196,333,1
69,6,3,Gold 3,5/8/2023,Cypher,Fracture,Win,14,12,21,17,6,1.2,30,8,158,238,2
70,6,3,Gold 3,5/8/2023,Cypher,Bind,Win,13,5,17,11,9,1.5,58,17,167,254,2
71,6,3,Gold 3,5/8/2023,Cypher,Lotus,Loss,11,13,15,19,6,0.8,-22,15,122,190,3
72,6,3,Gold 3,5/8/2023,Cypher,Pearl,Win,13,7,13,13,5,1.0,7,11,125,194,5
73,6,3,Gold 3,5/8/2023,Cypher,Ascent,Win,13,4,8,11,8,0.7,-63,9,74,125,5
74,6,3,Gold 3,5/9/2023,Cypher,Split,Loss,7,13,21,11,4,1.9,86,19,200,299,1
75,6,3,Gold 3,5/9/2023,Cypher,Bind,Win,13,6,17,8,4,2.1,74,14,167,249,3
76,6,3,Gold 3,5/9/2023,Cypher,Ascent,Loss,11,13,15,17,7,0.9,2,22,135,196,5
77,6,3,Gold 3,5/9/2023,Cypher,Bind,Draw,15,15,17,19,9,0.9,-2,19,115,173,4
78,6,3,Gold 3,5/9/2023,Cypher,Split,Loss,4,13,10,14,5,0.7,-6,14,126,186,1
79,6,3,Gold 3,5/9/2023,Cypher,Pearl,Win,13,4,11,9,8,1.2,13,15,106,173,4
80,6,3,Gold 3,5/9/2023,Cypher,Fracture,Loss,5,13,13,15,5,0.9,-16,26,124,203,3
