game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag,role
1,6,2,Placement,4/11/2023,Cypher,Ascent,Loss,5,13,8,15,4,0.5333333333333333,-61,3,76,125,3,Sentinel
2,6,2,Placement,4/12/2023,Cypher,Icebox,Loss,4,13,3,15,2,0.2,-124,22,42,59,5,Sentinel
3,6,2,Placement,4/15/2023,KAY/O,Lotus,Win,13,4,7,12,7,0.5833333333333334,-46,2,87,132,5,Initiator
4,6,2,Placement,4/15/2023,Brimstone,Ascent,Loss,9,13,18,12,10,1.5,23,14,137,230,2,Controller
5,6,2,Placement,4/15/2023,Cypher,Haven,Loss,1,13,6,14,3,0.42857142857142855,-75,7,90,146,4,Sentinel
6,6,2,Silver 2,4/15/2023,KAY/O,Haven,Win,13,10,16,15,18,1.0666666666666667,19,10,155,234,3,Initiator
7,6,2,Silver 2,4/15/2023,Cypher,Pearl,Loss,3,13,7,15,5,0.4666666666666667,-43,11,112,145,4,Sentinel
8,6,2,Silver 2,4/15/2023,KAY/O,Icebox,Loss,4,13,8,15,4,0.5333333333333333,-70,3,73,119,5,Initiator
9,6,2,Silver 2,4/16/2023,Cypher,Pearl,Loss,10,13,14,17,4,0.8235294117647058,-32,9,99,160,4,Sentinel
10,6,2,Silver 2,4/16/2023,Phoenix,Fracture,Win,13,4,16,7,6,2.2857142857142856,111,8,211,284,2,Duelist
11,6,2,Silver 2,4/17/2023,Brimstone,Lotus,Loss,4,13,8,14,1,0.5714285714285714,-59,8,85,137,4,Controller
12,6,2,Silver 2,4/17/2023,KAY/O,Ascent,Win,15,13,17,17,14,1.0,0,10,130,191,4,Initiator
13,6,2,Silver 2,4/17/2023,KAY/O,Ascent,Loss,9,13,13,16,8,0.8125,-57,19,87,151,5,Initiator
14,6,2,Silver 2,4/17/2023,KAY/O,Icebox,Loss,12,14,12,18,6,0.6666666666666666,-55,4,78,131,5,Initiator
15,6,2,Silver 2,4/17/2023,KAY/O,Lotus,Loss,9,13,17,15,4,1.1333333333333333,-8,8,129,223,3,Initiator
16,6,2,Silver 2,4/17/2023,KAY/O,Split,Loss,12,14,20,24,11,0.8333333333333334,-20,5,139,225,2,Initiator
17,6,2,Silver 2,4/18/2023,Breach,Split,Loss,5,13,5,16,8,0.3125,-64,6,102,128,5,Initiator
