game_id,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,acs,role,win,date_dt,smoothed_win_rate,games_played_as_agent,win_rate_agent_map_role,mean_acs_agent_map_role,mean_kdr_agent,recent_win_rate_agent
1603,5/2/2023,Astra,Breeze,Win,15,6,9,5,10,1.8,106,Controller,1,2023-05-02,0.5545116194625999,24,0.8,138.6,1.1241198616198615,1.0
1546,5/9/2023,Astra,Ascent,Loss,4,8,10,13,7,0.7692307692307693,228,Controller,0,2023-05-09,0.5545116194625999,24,0.5,222.5,1.1241198616198615,0.5
1206,5/18/2023,Astra,Breeze,Win,8,0,2,3,4,0.6666666666666666,173,Controller,1,2023-05-18,0.5545116194625999,24,0.8,138.6,1.1241198616198615,0.6666666666666666
1851,5/19/2023,Astra,Icebox,Loss,2,7,3,4,4,0.75,90,Controller,0,2023-05-19,0.5545116194625999,24,0.5,63.5,1.1241198616198615,0.5
1536,5/24/2023,Astra,Sunset,Win,9,3,8,2,0,4.0,269,Controller,1,2023-05-24,0.5545116194625999,24,0.5,229.0,1.1241198616198615,0.6
1708,5/31/2023,Astra,Fracture,Win,14,7,10,13,8,0.7692307692307693,65,Controller,1,2023-05-31,0.5545116194625999,24,0.6666666666666666,149.0,1.1241198616198615,0.6
1533,6/11/2023,Astra,Split,Loss,4,9,3,20,6,0.15,32,Controller,0,2023-06-11,0.5545116194625999,24,0.6666666666666666,61.666666666666664,1.1241198616198615,0.6
1523,7/17/2023,Astra,Breeze,Loss,12,15,3,6,9,0.5,167,Controller,0,2023-07-17,0.5545116194625999,24,0.8,138.6,1.1241198616198615,0.4
1212,7/31/2023,Astra,Fracture,Win,10,6,7,9,4,0.7777777777777778,289,Controller,1,2023-07-31,0.5545116194625999,24,0.6666666666666666,149.0,1.1241198616198615,0.6
1769,8/22/2023,Astra,Split,Win,15,3,5,6,1,0.8333333333333334,11,Controller,1,2023-08-22,0.5545116194625999,24,0.6666666666666666,61.666666666666664,1.1241198616198615,0.6
1978,8/22/2023,Astra,Ascent,Win,12,3,15,13,0,1.1538461538461535,217,Controller,1,2023-08-22,0.5545116194625999,24,0.5,222.5,1.1241198616198615,0.6
1395,9/9/2023,Astra,Breeze,Win,8,7,3,4,9,0.75,29,Controller,1,2023-09-09,0.5545116194625999,24,0.8,138.6,1.1241198616198615,0.8
1333,11/3/2023,Astra,Abyss,Loss,8,13,5,6,8,0.8333333333333334,278,Controller,0,2023-11-03,0.5545116194625999,24,0.0,278.0,1.1241198616198615,0.8
1777,11/4/2023,Astra,Icebox,Win,8,5,9,5,10,1.8,37,Controller,1,2023-11-04,0.5545116194625999,24,0.5,63.5,1.1241198616198615,0.8
1367,11/11/2023,Astra,Split,Win,8,5,6,14,6,0.4285714285714285,142,Controller,1,2023-11-11,0.5545116194625999,24,0.6666666666666666,61.666666666666664,1.1241198616198615,0.8
1612,11/28/2023,Astra,Haven,Win,5,1,8,13,5,0.6153846153846154,230,Controller,1,2023-11-28,0.5545116194625999,24,0.3333333333333333,224.33333333333334,1.1241198616198615,0.8
1037,1/3/2024,Astra,Breeze,Win,15,12,2,3,10,0.6666666666666666,218,Controller,1,2024-01-03,0.5545116194625999,24,0.8,138.6,1.1241198616198615,0.8
1833,3/16/2024,Astra,Fracture,Draw,13,13,12,20,0,0.6,93,Controller,0,2024-03-16,0.5545116194625999,24,0.6666666666666666,149.0,1.1241198616198615,0.8
1748,8/4/2024,Astra,Sunset,Loss,0,5,20,7,9,2.857142857142857,189,Controller,0,2024-08-04,0.5545116194625999,24,0.5,229.0,1.1241198616198615,0.6
1248,8/19/2024,Astra,Lotus,Win,8,5,8,8,7,1.0,257,Controller,1,2024-08-19,0.5545116194625999,24,1.0,257.0,1.1241198616198615,0.6
1668,10/3/2024,Astra,Haven,Loss,4,7,12,10,5,1.2,210,Controller,0,2024-10-03,0.5545116194625999,24,0.3333333333333333,224.33333333333334,1.1241198616198615,0.4
1308,11/6/2024,Astra,Haven,Draw,2,2,2,0,6,2.0,233,Controller,0,2024-11-06,0.5545116194625999,24,0.3333333333333333,224.33333333333334,1.1241198616198615,0.2
996,11/11/2024,Astra,Pearl,Win,13,9,17,13,8,1.3076923076923077,212,Controller,1,2024-11-11,0.5545116194625999,24,0.5,203.0,1.1241198616198615,0.4
998,11/11/2024,Astra,Pearl,Loss,6,13,12,16,5,0.75,194,Controller,0,2024-11-11,0.5545116194625999,24,0.5,203.0,1.1241198616198615,0.4
17,4/18/2023,Breach,Split,Loss,5,13,5,16,8,0.3125,128,Initiator,0,2023-04-18,0.496141975308642,28,0.5,127.25,2.193235930735931,0.0
18,4/18/2023,Breach,Fracture,Win,13,9,9,16,7,0.5625,128,Initiator,1,2023-04-18,0.496141975308642,28,0.6666666666666666,182.33333333333334,2.193235930735931,0.5
19,4/18/2023,Breach,Fracture,Win,13,8,12,16,11,0.75,179,Initiator,1,2023-04-18,0.496141975308642,28,0.6666666666666666,182.33333333333334,2.193235930735931,0.6666666666666666
1873,5/2/2023,Breach,Split,Win,14,3,15,18,6,0.8333333333333334,59,Initiator,1,2023-05-02,0.496141975308642,28,0.5,127.25,2.193235930735931,0.75
1102,5/8/2023,Breach,Fracture,Draw,8,8,10,3,10,3.333333333333333,240,Initiator,0,2023-05-08,0.496141975308642,28,0.6666666666666666,182.33333333333334,2.193235930735931,0.6
1215,5/22/2023,Breach,Lotus,Win,15,5,4,12,8,0.3333333333333333,297,Initiator,1,2023-05-22,0.496141975308642,28,1.0,159.0,2.193235930735931,0.8
1256,5/23/2023,Breach,Sunset,Win,15,7,4,9,5,0.4444444444444444,91,Initiator,1,2023-05-23,0.496141975308642,28,1.0,91.0,2.193235930735931,0.8
1915,5/29/2023,Breach,Breeze,Loss,7,8,11,14,9,0.7857142857142857,13,Initiator,0,2023-05-29,0.496141975308642,28,0.5,194.66666666666666,2.193235930735931,0.6
1548,5/30/2023,Breach,Pearl,Draw,4,4,3,2,6,1.5,79,Initiator,0,2023-05-30,0.496141975308642,28,0.0,79.0,2.193235930735931,0.4
1036,6/3/2023,Breach,Breeze,Win,13,7,19,11,10,1.7272727272727273,188,Initiator,1,2023-06-03,0.496141975308642,28,0.5,194.66666666666666,2.193235930735931,0.6
1182,6/6/2023,Breach,Abyss,Loss,0,3,16,14,3,1.1428571428571428,220,Initiator,0,2023-06-06,0.496141975308642,28,0.0,127.0,2.193235930735931,0.4
1327,6/19/2023,Breach,Lotus,Win,15,11,15,3,10,5.0,21,Initiator,1,2023-06-19,0.496141975308642,28,1.0,159.0,2.193235930735931,0.4
1650,8/2/2023,Breach,Icebox,Draw,4,4,12,18,0,0.6666666666666666,150,Initiator,0,2023-08-02,0.496141975308642,28,0.0,178.5,2.193235930735931,0.4
1922,8/23/2023,Breach,Ascent,Win,13,10,7,0,4,7.0,210,Initiator,1,2023-08-23,0.496141975308642,28,1.0,198.66666666666666,2.193235930735931,0.6
