game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag,role,win_loss_margin,performance
45,6,3,Gold 1,5/4/2023,Cypher,Bind,Win,13,9,15,13,10,1.1538461538461535,40,13,164,230,4,Sentinel,4,7
887,9,2,Ascendant 1,9/14/2024,Killjoy,Lotus,Win,13,11,28,15,2,1.8666666666666667,97,26,221,320,1,Sentinel,2,9
1230,7,3,Platinum 2,4/16/2023,Brimstone,Haven,Win,12,0,7,19,5,0.3684210526315789,24,97,145,131,7,Controller,12,7
1230,6,2,Gold 1,6/3/2023,Omen,Bind,Win,9,4,16,5,4,3.2,0,96,51,131,1,Controller,5,5
944,9,2,Ascendant 2,10/9/2024,Cypher,Sunset,Loss,18,20,33,26,18,1.2692307692307692,43,26,180,266,2,Sentinel,-2,7
691,8,3,Diamond 3,6/5/2024,Omen,Sunset,Win,13,9,11,14,4,0.7857142857142857,-24,19,90,139,5,Controller,4,5
155,6,3,Platinum 1,6/3/2023,Cypher,Lotus,Loss,7,13,18,16,7,1.125,18,9,158,253,2,Sentinel,-6,5
1016,7,2,Platinum 3,8/6/2024,Killjoy,Haven,Loss,0,4,4,6,10,0.6666666666666666,-47,70,80,140,5,Sentinel,-4,3
301,7,1,Platinum 3,7/20/2023,Killjoy,Haven,Win,17,15,28,20,3,1.4,37,11,152,241,2,Sentinel,2,7
279,7,1,Platinum 1,7/17/2023,Killjoy,Ascent,Win,13,9,6,17,1,0.3529411764705882,-77,19,60,80,5,Sentinel,4,4
523,7,3,Diamond 3,1/4/2024,Cypher,Breeze,Loss,2,13,6,13,2,0.4615384615384615,-41,38,102,137,3,Sentinel,-11,1
925,9,2,Ascendant 2,9/26/2024,Killjoy,Haven,Loss,10,13,14,16,3,0.875,-17,29,116,177,3,Sentinel,-3,4
657,8,2,Ascendant 1,3/26/2024,Viper,Icebox,Loss,6,13,11,16,4,0.6875,-46,40,102,152,3,Controller,-7,3
1894,8,1,Ascendant 2,2/3/2024,KAY/O,Ascent,Win,14,1,4,15,2,0.2666666666666666,-42,58,188,188,10,Initiator,13,8
338,7,1,Diamond 1,7/31/2023,Cypher,Pearl,Win,9,4,10,8,1,1.25,5,27,117,189,3,Sentinel,5,6
464,7,3,Diamond 1,11/16/2023,Killjoy,Ascent,Win,13,10,15,17,6,0.8823529411764706,40,16,177,240,4,Sentinel,3,7
484,7,3,Diamond 1,11/28/2023,Killjoy,Ascent,Loss,9,13,17,16,2,1.0625,12,21,139,212,2,Sentinel,-4,5
315,7,1,Platinum 3,7/25/2023,Cypher,Bind,Win,13,8,10,14,7,0.7142857142857143,-9,12,108,155,5,Sentinel,5,6
856,9,2,Diamond 3,9/1/2024,Cypher,Bind,Win,13,7,15,11,1,1.3636363636363635,21,29,132,199,3,Sentinel,6,7
545,8,1,Platinum 2,1/26/2024,Cypher,Bind,Win,13,8,21,12,6,1.75,47,33,163,255,1,Sentinel,5,8
529,7,3,Diamond 3,1/7/2024,Cypher,Split,Loss,11,13,17,20,7,0.85,-7,21,149,221,2,Sentinel,-2,6
